Year,School Type,Hindi,English
2016-17,Primary Only,38059392,5196393
2016-17,Primary with Upper Primary,25409389,8506437
2016-17,"Primary with Upper Primary,Secondary and Higher Sec.",6518547,10795237
2016-17,Upper Primary Only,10617655,306169
2016-17,"Upper Primary,Sec. and Higher Sec.",3004067,1011052
2016-17,Primary with Upper Primary and SEC.,5129579,8058094
2016-17,Upper Primary with Secondary,1112075,1595355
2015-16,Primary Only,41398824,5084030
2015-16,Primary with Upper Primary,27594382,8379822
2015-16,"Primary with Upper Primary,Secondary and Higher Sec.",6251926,10009810
2015-16,Upper Primary Only,11319188,316970
2015-16,"Upper Primary,Sec. and Higher Sec.",3143536,1067569
2015-16,Primary with Upper Primary and SEC.,5058349,7360778
2015-16,Upper Primary with Secondary,1277191,1792436
2014-15,Primary Only,42580819,5536905
2014-15,Primary with Upper Primary,26626559,7661364
2014-15,"Primary with Upper Primary,Secondary and Higher Sec.",5344987,10050977
2014-15,Upper Primary Only,11597070,317131
2014-15,"Upper Primary,Sec. and Higher Sec.",3140931,1015232
2014-15,Primary with Upper Primary and SEC.,5618477,4791339
2014-15,Upper Primary with Secondary,1284138,2068671
2013-14,Primary Only,45227573,5499776
2013-14,Primary with Upper Primary,27442800,6898143
2013-14,"Primary with Upper Primary,Secondary and Higher Sec.",4202921,9032996
2013-14,Upper Primary Only,11791653,322603
2013-14,"Upper Primary,Sec. and Higher Sec.",3236882,932352
2013-14,Primary with Upper Primary and SEC.,4124720,4261977
2013-14,Upper Primary with Secondary,1781645,2017918
2012-13,Primary Only,46310770,5097500
2012-13,Primary with Upper Primary,26112665,6052431
2012-13,"Primary with Upper Primary,Secondary and Higher Sec.",4421390,8424696
2012-13,Upper Primary Only,12058471,325782
2012-13,"Upper Primary,Sec. and Higher Sec.",2863875,1910885
2012-13,Primary with Upper Primary and SEC.,3593306,3089092
2012-13,Upper Primary with Secondary,1279858,778094
